QuestionId,QuestionTitle,QuestionBody,QuestionTags,QuestionBodyLength,URLImageCount,LOC,UserReputation,UserGoldBadges,UserSilverBadges,UserBronzeBadges,QuestionAcceptRate,QuestionViewCount,QuestionFavoriteCount,UserUpVoteCount,QuestionAnswersCount,QuestionScore,QuestionCreationDate,FirstAnswerCreationDate,AcceptedAnswerCreationDate,FirstAnswerIntervalDays,AcceptedAnswerIntervalDays,QuestionLabel,QuestionLabelDefinition
50093144,MySQL 8.0 - Client does not support authentication protocol requested by server; consider upgrading MySQL client,"I can't make a simple connection to the server for some reason. I install the newest MySQL Community 8.0 database along with Node.JS with default settings.
This is my node.js code
    var mysql = require('mysql');
    var con = mysql.createConnection({
      host: &quot;localhost&quot;,
      user: &quot;root&quot;,
      password: &quot;password&quot;,
      insecureAuth : true
    });
    con.connect(function(err) {
      if (err) throw err;
      console.log(&quot;Connected!&quot;);
    });
Below is the error found in Command Prompt:
C:\Users\mysql-test&gt;node app.js
    C:\Users\mysql-test\node_modules\mysql\lib\protocol\Parse
    r.js:80
            throw err; // Rethrow non-MySQL errors
            ^
Error: ER_NOT_SUPPORTED_AUTH_MODE: Client does not support authentication protocol requested by server; consider upgrading MySQL client
    at Handshake.Sequence._packetToError (C:\Users\mysql-
test\node_modules\mysql\lib\protocol\sequences\Sequence.js:52:14)
    at Handshake.ErrorPacket (C:\Users\mysql-test\node_mo
dules\mysql\lib\protocol\sequences\Handshake.js:130:18)
    at Protocol._parsePacket (C:\Users\mysql-test\node_mo
dules\mysql\lib\protocol\Protocol.js:279:23)
    at Parser.write (C:\Users\mysql-test\node_modules\mys
ql\lib\protocol\Parser.js:76:12)
    at Protocol.write (C:\Users\mysql-test\node_modules\m
ysql\lib\protocol\Protocol.js:39:16)
    at Socket.&lt;anonymous&gt; (C:\Users\mysql-test\node_modul
es\mysql\lib\Connection.js:103:28)
    at Socket.emit (events.js:159:13)
    at addChunk (_stream_readable.js:265:12)
    at readableAddChunk (_stream_readable.js:252:11)
    at Socket.Readable.push (_stream_readable.js:209:10)
    --------------------
    at Protocol._enqueue (C:\Users\mysql-test\node_module
s\mysql\lib\protocol\Protocol.js:145:48)
    at Protocol.handshake (C:\Users\mysql-test\node_modul
es\mysql\lib\protocol\Protocol.js:52:23)
    at Connection.connect (C:\Users\mysql-test\node_modul
es\mysql\lib\Connection.js:130:18)
    at Object.&lt;anonymous&gt; (C:\Users\mysql-test\server.js:
11:5)
at Module._compile (module.js:660:30)
at Object.Module._extensions..js (module.js:671:10)
at Module.load (module.js:573:32)
at tryModuleLoad (module.js:513:12)
at Function.Module._load (module.js:505:3)
at Function.Module.runMain (module.js:701:10)
I've read up on some things such as:
https://dev.mysql.com/doc/refman/5.5/en/old-client.html
https://github.com/mysqljs/mysql/issues/1507
But I am still not sure how to fix my problem.
",<mysql><node.js>,2492,4,51,7655,3,10,14,64,1015467,0,7,35,755,2018-04-30 2:04,2018-05-02 9:58,2018-05-02 9:58,2,2,Advanced,32
49194719,Authentication plugin 'caching_sha2_password' cannot be loaded,"I am connecting MySQL - 8.0 with MySQL Workbench and getting the below error:
  Authentication plugin 'caching_sha2_password' cannot be loaded:
  dlopen(/usr/local/mysql/lib/plugin/caching_sha2_password.so, 2): image
  not found
I have tried with other client tool as well.
Any solution for this?
",<mysql><mysql-workbench><mysql-8.0>,297,0,0,17755,9,53,82,61,1043189,0,715,38,671,2018-03-09 13:19,2018-03-12 5:08,2018-03-12 5:08,3,3,Advanced,32
50379839,Connection Java - MySQL : Public Key Retrieval is not allowed,"I try to connect MySQL database with Java using connector 8.0.11.   Everything seems to be OK, but I get this exception:
Exception in thread &quot;main&quot; java.sql.SQLNonTransientConnectionException: Public Key Retrieval is not allowed at
     com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:108) at 
     com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:95) at
     com.mysql.cj.jdbc.exceptions.SQLExceptionsMapping.translateException(SQLExceptionsMapping.java:122) at     
     com.mysql.cj.jdbc.ConnectionImpl.createNewIO(ConnectionImpl.java:862) at 
     com.mysql.cj.jdbc.ConnectionImpl.(ConnectionImpl.java:444) at
     com.mysql.cj.jdbc.ConnectionImpl.getInstance(ConnectionImpl.java:230) at
     com.mysql.cj.jdbc.NonRegisteringDriver.connect(NonRegisteringDriver.java:226) at
     com.mysql.cj.jdbc.MysqlDataSource.getConnection(MysqlDataSource.java:438) at
     com.mysql.cj.jdbc.MysqlDataSource.getConnection(MysqlDataSource.java:146) at
     com.mysql.cj.jdbc.MysqlDataSource.getConnection(MysqlDataSource.java:119) at
     ConnectionManager.getConnection(ConnectionManager.java:28) at
     Main.main(Main.java:8)
Here is my Connection Manager class:
public class ConnectionManager {
    public static final String serverTimeZone = &quot;UTC&quot;;
    public static final String serverName = &quot;localhost&quot;;
    public static final String databaseName =&quot;biblioteka&quot;;
    public static final int portNumber = 3306;
    public static final String user = &quot;anyroot&quot;;
    public static final String password = &quot;anyroot&quot;;
    public static Connection getConnection() throws SQLException {
        MysqlDataSource dataSource = new MysqlDataSource();
        dataSource.setUseSSL( false );
        dataSource.setServerTimezone( serverTimeZone );
        dataSource.setServerName( serverName );
        dataSource.setDatabaseName( databaseName );
        dataSource.setPortNumber( portNumber );
        dataSource.setUser( user );
        dataSource.setPassword( password );
        return dataSource.getConnection();
    }
}
",<java><mysql><exception><connector>,2115,0,37,4667,3,9,10,73,670288,0,17,25,450,2018-05-16 21:02,2018-05-20 19:57,2018-05-20 19:57,4,4,Intermediate,31
65456814,"Docker (Apple Silicon/M1 Preview) MySQL ""no matching manifest for linux/arm64/v8 in the manifest list entries""","I'm running the latest build of the Docker Apple Silicon Preview. I created the tutorial container/images and it works fine. When I went to create a custom YAML file and run docker-compose I get the following error when pulling mysql:
ERROR: no matching manifest for linux/arm64/v8 in the manifest list entries
Here is a snippet from my YAMl file:
version: '3'
services:
  # Database
  db:
    image: mysql-server:5.7
    volumes:
      - db_data:/var/lib/mysql
    restart: always
    environment:
      MYSQL_ROOT_PASSWORD: pass
      MYSQL_DATABASE: wp
      MYSQL_USER: wp
      MYSQL_PASSWORD: wp
    networks:
      - wpsite 
I've tried :latest and :8 which result in the same error. It pulls phpmyadmin and wordpress fine.
",<mysql><docker><apple-silicon>,730,1,16,5470,4,31,52,54,405092,0,34,24,445,2020-12-26 13:20,2021-01-06 9:04,2021-01-06 9:04,11,11,Advanced,37
50177216,How to grant all privileges to root user in MySQL 8.0,"Tried
mysql&gt; GRANT ALL PRIVILEGES ON *.* TO 'root'@'%' IDENTIFIED BY 'root' WITH GRANT OPTION;
Getting
  ERROR 1064 (42000): You have an error in your SQL syntax; check the manual that
  corresponds to your MySQL server version for the right syntax to use near 'IDENTIFIED BY 'root' WITH GRANT OPTION' at line 1.
Note: The same is working when tried in previous versions.
Also tried
mysql&gt; GRANT ALL PRIVILEGES ON *.* TO 'root'@'%' WITH GRANT OPTION;
Getting
  ERROR 1410 (42000): You are not allowed to create a user with GRANT
MySQL (8.0.11.0) username/password is root/root.
",<mysql><mysql-error-1064><mysql-8.0>,584,0,2,2820,3,8,8,53,720528,0,7,24,282,2018-05-04 14:23,2018-05-06 8:17,,2,,Basic,9
50690076,phpMyAdmin - Error > Incorrect format parameter?,"I have a WordPress production website.
I've exported the database by the following commands: select database &gt; export &gt; custom &gt; select all tables &gt; select .zip compression &gt; 'Go'
I've downloaded the file which is example.sql.zip but when I upload to my localhost I get this error: phpMyAdmin - Error &gt; Incorrect format parameter
I've tried to export with other formats and I get the same error.
I've tried with other SQL Databases and it exports/ imports just fine.
What could it be? A corrupt database or other?
Thanks
",<php><mysql><database><wordpress><phpmyadmin>,539,0,2,5235,7,21,35,63,474164,0,9,22,272,2018-06-04 23:15,2018-06-07 16:58,2018-06-07 16:58,3,3,Basic,14
52364415,PHP with MySQL 8.0+ error: The server requested authentication method unknown to the client,"I'm running MySQL version 8 on PHP 7.0.
I'm getting the following error when I try to connect to my database from PHP:
  Connect Error: SQLSTATE[HY000] [2054] The server requested authentication method unknown to the client
PHP might show this error
  Warning: mysqli_connect(): The server requested authentication method unknown to the client [caching_sha2_password] in D:\xampp\htdocs\reg\server.php on line 10
How can I fix this problem?
",<php><mysql><mysql-8.0>,441,0,0,2311,2,12,16,67,420053,0,1,8,228,2018-09-17 9:17,2018-09-17 9:18,,0,,Basic,3
55038942,"FATAL: password authentication failed for user ""postgres"" (postgresql 11 with pgAdmin 4)","I recently installed Postgresql 11, during the installation, there's no step to put password and username for Postgres. Now in pgAdmin 4, I wanted to connect the database to server and it's asking me to input password, and I haven't put any in the first place.
Any one knows what's going on?
",<postgresql><pgadmin-4><postgresql-11>,292,0,0,1849,2,8,9,71,589784,0,0,18,183,2019-03-07 8:12,2019-03-07 8:41,2019-03-07 8:41,0,0,Basic,13
50557234,Authentication plugin 'caching_sha2_password' is not supported,"I am trying to connect to a MySQL server with python connector. I created a new user lcherukuri with the authentication plugin mysql_native_password.
But I got the error
  mysql.connector.errors.NotSupportedError: Authentication plugin 'caching_sha2_password' is not supported
Can someone help me? 
import mysql.connector
cnx = mysql.connector.connect(user='lcherukuri', password='password',
                              host='127.0.0.1',
                              database='test')
cnx.close()
",<python><mysql>,499,1,8,4649,13,43,75,42,307207,0,215,29,172,2018-05-27 22:53,2018-05-27 23:05,2018-05-27 23:05,0,0,Advanced,44
50026939,php mysqli_connect: authentication method unknown to the client [caching_sha2_password],"I am using php mysqli_connect for login to a MySQL database (all on localhost)
&lt;?php
//DEFINE ('DB_USER', 'user2');
//DEFINE ('DB_PASSWORD', 'pass2');
DEFINE ('DB_USER', 'user1');
DEFINE ('DB_PASSWORD', 'pass1');
DEFINE ('DB_HOST', '127.0.0.1');
DEFINE ('DB_NAME', 'dbname');
$dbc = mysqli_connect(DB_HOST, DB_USER, DB_PASSWORD, DB_NAME);
if(!$dbc){
    die('error connecting to database');    
}
?&gt;
this is the mysql.user table:
MySQL Server ini File:
[mysqld]
# The default authentication plugin to be used when connecting to the server
default_authentication_plugin=caching_sha2_password
#default_authentication_plugin=mysql_native_password
with caching_sha2_password in the MySQL Server ini file, it's not possible at all to login with user1 or user2;
  error: mysqli_connect(): The server requested authentication method unknown to the client [caching_sha2_password] in...
with mysql_native_password in the MySQL Server ini file, it's possible to login with user1, but with user2, same error;
how can I login using caching_sha2_password on the mySql Server?
",<php><mysql><hash><sha>,1069,1,22,2568,2,16,20,51,310409,0,91,18,162,2018-04-25 16:15,2018-04-25 16:54,2018-04-25 16:54,0,0,Advanced,44
