QuestionId,QuestionTitle,QuestionBody,QuestionTags,QuestionBodyLength,URLImageCount,LOC,UserReputation,UserGoldBadges,UserSilverBadges,UserBronzeBadges,QuestionAcceptRate,QuestionViewCount,QuestionFavoriteCount,UserUpVoteCount,QuestionAnswersCount,QuestionScore,QuestionCreationDate,FirstAnswerCreationDate,AcceptedAnswerCreationDate,FirstAnswerIntervalDays,AcceptedAnswerIntervalDays,QuestionLabel,QuestionLabelDefinition
51916630,MongoDB mongoose Deprecation Warning,"While querying the documents by using collection.find I started getting following warning in my console
  DeprecationWarning: collection.find option [fields] is deprecated and
  will be removed in a later version
Why am I seeing this and how do I fix this? (Possible alternatives)
EDIT: Query Added
Session
        .find({ sessionCode: '18JANMON', completed: false })
        .limit(10)
        .sort({time: 1})
        .select({time: 1, sessionCode: 1});
Mongoose version 5.2.9
",<javascript><node.js><mongodb><mongoose><nosql>,479,0,6,4537,11,46,83,58,42623,0.0,512,14,44,2018-08-19 10:14,2018-08-19 14:43,2018-08-19 14:43,0.0,0.0,Advanced,38
54601529,Efficiently mapping one-to-many many-to-many database to struct in Golang,"Question
When dealing with a one-to-many or many-to-many SQL relationship in Golang, what is the best (efficient, recommended, ""Go-like"") way of mapping the rows to a struct?
Taking the example setup below I have tried to detail some approaches with Pros and Cons of each but was wondering what the community recommends.
Requirements
Works with PostgreSQL (can be generic but not include MySQL/Oracle specific features)
Efficiency - No brute forcing every combination
No ORM - Ideally using only database/sql and jmoiron/sqlx
Example
For sake of clarity I have removed error handling
Models
type Tag struct {
  ID int
  Name string
}
type Item struct {
  ID int
  Tags []Tag
}
Database
CREATE TABLE item (
  id                      INT GENERATED BY DEFAULT AS IDENTITY PRIMARY KEY
);
CREATE TABLE tag (
  id                      INT GENERATED BY DEFAULT AS IDENTITY PRIMARY KEY,
  name                    VARCHAR(160),
  item_id                 INT REFERENCES item(id)
);
Approach 1 - Select all Items, then select tags per item
var items []Item
sqlxdb.Select(&amp;items, ""SELECT * FROM item"")
for i, item := range items {
  var tags []Tag
  sqlxdb.Select(&amp;tags, ""SELECT * FROM tag WHERE item_id = $1"", item.ID)
  items[i].Tags = tags
}
Pros
Simple
Easy to understand
Cons
Inefficient with the number of database queries increasing proportional with number of items
Approach 2 - Construct SQL join and loop through rows manually
var itemTags = make(map[int][]Tag)
var items = []Item{}
rows, _ := sqlxdb.Queryx(""SELECT i.id, t.id, t.name FROM item AS i JOIN tag AS t ON t.item_id = i.id"")
for rows.Next() {
  var (
    itemID  int
    tagID   int
    tagName string
  )
  rows.Scan(&amp;itemID, &amp;tagID, &amp;tagName)
  if tags, ok := itemTags[itemID]; ok {
    itemTags[itemID] = append(tags, Tag{ID: tagID, Name: tagName,})
  } else {
    itemTags[itemID] = []Tag{Tag{ID: tagID, Name: tagName,}}
  }
}
for itemID, tags := range itemTags {
  items = append(Item{
    ID: itemID,
    Tags: tags,
  })
}
Pros
A single database call and cursor that can be looped through without eating too much memory
Cons
Complicated and harder to develop with multiple joins and many attributes on the struct
Not too performant; more memory usage and processing time vs. more network calls
Failed approach 3 - sqlx struct scanning
Despite failing I want to include this approach as I find it to be my current aim of efficiency paired with development simplicity. My hope was by explicitly setting the db tag on each struct field sqlx could do some advanced struct scanning 
var items []Item
sqlxdb.Select(&amp;items, ""SELECT i.id AS item_id, t.id AS tag_id, t.name AS tag_name FROM item AS i JOIN tag AS t ON t.item_id = i.id"")
Unfortunately this errors out as missing destination name tag_id in *[]Item leading me to believe the StructScan is not advanced enough to recursively loop through rows (no criticism - it is a complicated scenario)
Possible approach 4 - PostgreSQL array aggregators and GROUP BY
While I am sure this will not work I have included this untested option to see if it could be improved upon so it may work.
var items = []Item{}
sqlxdb.Select(&amp;items, ""SELECT i.id as item_id, array_agg(t.*) as tags FROM item AS i JOIN tag AS t ON t.item_id = i.id GROUP BY i.id"")
When I have some time I will try and run some experiments here. 
",<sql><go><struct><sqlx>,3346,0,60,14702,6,48,62,53,18469,0.0,65,5,44,2019-02-08 23:17,2019-02-09 21:31,2019-02-10 9:26,1.0,2.0,Intermediate,22
53975234,Instance of 'SQLAlchemy' has no 'Column' member (no-member),"I'm currently trying to implement steam login into website. But I'm unable to get pass this error within the code. I've created the database object but it keeps showing the error I mentioned earlier. I'm not sure whether SQLAlchemy has changed or what since I used it.
from flask import Flask
from flask_sqlalchemy import SQLAlchemy
app = Flask(__name__)
db = SQLAlchemy(app)
class User(db.Model):
    id = db.Column(db.Integer, primary_key=True)
The message emitted by pylint is
E1101: Instance of 'SQLAlchemy' has no 'Column' member (no-member)
",<python><python-3.x><flask><sqlalchemy><pylint>,547,0,10,535,1,5,8,75,42567,0.0,0,6,43,2018-12-30 4:15,2019-02-28 14:45,,60.0,,Basic,13
51933421,System.Data.SQLite vs Microsoft.Data.Sqlite,"What are the differences between System.Data.SQLite and Microsoft.Data.Sqlite?
I understand that System.Data.SQLite is older and got .NETStandard support after Microsoft.Data.Sqlite, but now both of them support .NETStandard 2.
What are the advantages of one over the other?
",<.net><sqlite><system.data.sqlite>,275,0,0,601,1,5,11,49,21127,0.0,5,4,43,2018-08-20 14:54,2018-08-26 10:57,2018-08-26 10:57,6.0,6.0,Intermediate,19
49984267,java.sql.SQLException: Unknown system variable 'query_cache_size',"I have a app running with JDBC and get data from MySQL, but I can't build it because of this error : 
java.sql.SQLException: Unknown system variable 'query_cache_size'
at com.mysql.jdbc.SQLError.createSQLException(SQLError.java:964) ~[mysql-connector-java-5.1.41.jar:5.1.41]
    at com.mysql.jdbc.MysqlIO.checkErrorPacket(MysqlIO.java:3973) ~[mysql-connector-java-5.1.41.jar:5.1.41]
    at com.mysql.jdbc.MysqlIO.checkErrorPacket(MysqlIO.java:3909) ~[mysql-connector-java-5.1.41.jar:5.1.41]
    at com.mysql.jdbc.MysqlIO.sendCommand(MysqlIO.java:2527) ~[mysql-connector-java-5.1.41.jar:5.1.41]
    at com.mysql.jdbc.MysqlIO.sqlQueryDirect(MysqlIO.java:2680) ~[mysql-connector-java-5.1.41.jar:5.1.41]
    at com.mysql.jdbc.ConnectionImpl.execSQL(ConnectionImpl.java:2497) ~[mysql-connector-java-5.1.41.jar:5.1.41]
    at com.mysql.jdbc.ConnectionImpl.execSQL(ConnectionImpl.java:2455) ~[mysql-connector-java-5.1.41.jar:5.1.41]
    at com.mysql.jdbc.StatementImpl.executeQuery(StatementImpl.java:1369) ~[mysql-connector-java-5.1.41.jar:5.1.41]
    at com.mysql.jdbc.ConnectionImpl.loadServerVariables(ConnectionImpl.java:3777) ~[mysql-connector-java-5.1.41.jar:5.1.41]
    at com.mysql.jdbc.ConnectionImpl.initializePropsFromServer(ConnectionImpl.java:3240) ~[mysql-connector-java-5.1.41.jar:5.1.41]
    at com.mysql.jdbc.ConnectionImpl.connectOneTryOnly(ConnectionImpl.java:2249) ~[mysql-connector-java-5.1.41.jar:5.1.41]
    at com.mysql.jdbc.ConnectionImpl.createNewIO(ConnectionImpl.java:2035) ~[mysql-connector-java-5.1.41.jar:5.1.41]
    at com.mysql.jdbc.ConnectionImpl.&lt;init&gt;(ConnectionImpl.java:790) ~[mysql-connector-java-5.1.41.jar:5.1.41]
    at com.mysql.jdbc.JDBC4Connection.&lt;init&gt;(JDBC4Connection.java:47) ~[mysql-connector-java-5.1.41.jar:5.1.41]
    at sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method) ~[na:1.8.0_131]
I have file application.properties here 
#specs.dir=/specs/
#
#################### Spring Boot Data Source Configuration ############
#spring.datasource.driver-class-name=com.mysql.jdbc.Driver
#spring.datasource.url=jdbc:mysql://localhost:3306/savingbooking?useSSL=false
#spring.datasource.username=root
#spring.datasource.password=ZAQ!2wsx
#spring.datasource.initialize=true
#spring.jpa.hibernate.ddl-auto=update
#spring.jpa.properties.hibernate.format_sql=true
#spring.jpa.show-sql=true
#spring.jpa.properties.hibernate.dialect=org.hibernate.dialect.MySQLDialect
Mysql workbench is 8.0 version
",<java><mysql><spring-boot><jdbc>,2462,0,28,347,1,5,16,62,80235,0.0,48,11,43,2018-04-23 15:04,2018-04-23 15:10,2018-04-23 15:10,0.0,0.0,Basic,13
50409788,MySQL 8 create new user with password not working,"I am using MySQL for several years and the command for the creating the new user till the MySQL 5.x version is as follow:
GRANT ALL PRIVILEGES ON *.* TO 'username'@'localhost' IDENTIFIED BY 'password';
Recently I installed the MySQL 8. In that, this command is not working.
It is throwing following error while firing above command:
ERROR 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'IDENTIFIED BY 'password'' at line 1
Is there any change of syntax in MySQL 8? What is the correct syntax for creating new user command in MySQL 8?
Note: I tried this syntax in MySQL 5.x versions. It is working correctly in that.
",<mysql><sql><database>,717,0,2,2440,2,29,42,42,53618,0.0,1886,2,42,2018-05-18 10:56,2018-05-18 15:11,2018-05-18 15:11,0.0,0.0,Basic,5
50180667,How can I connect to a database as another user?,"Im currently creating an API for a school project and everything is working good. My setup is: Node v10, Postgres, Koa and so on...
I currently have this:
CREATE ROLE sa WITH LOGIN PASSWORD 'some-password.';
CREATE DATABASE master WITH OWNER sa;
\c master;
When the init script runs in the docker machine the output I get is this one:
CREATE ROLE
CREATE DATABASE
You are now connected to database ""master"" as user ""postgres"".
So I did change the file to something like this:
CREATE ROLE sa WITH LOGIN PASSWORD 'some-password.';
CREATE DATABASE master WITH OWNER sa;
CONNECT TO master AS main USER sa;
And I get a syntax error:
STATEMENT:  CONNECT TO master AS sa USER sa;
psql:/docker-entrypoint-initdb.d/init.sql:4: ERROR:  syntax error at or near ""CONNECT""
I can't find anywhere in docs (or haven't look very good) how to connect from a .sql file to a database with an specific user.
How would I connect to 'master' with its owner, which is 'sa' from a .sql file?
",<postgresql><psql>,966,0,11,563,1,5,12,68,101774,0.0,5,4,42,2018-05-04 17:57,2018-05-04 18:45,2018-05-04 18:45,0.0,0.0,Basic,9
48956743,Embedded Postgres for Spring Boot Tests,"I'm building a Spring Boot app, backed by Postgres, using Flyway for database migrations. I've been bumping up against issues where I cannot produce a migration that generates the desired outcome in both Postgres, and the embedded unit test database (even with Postgres compatibility mode enabled). So I am looking at using embedded Postgres for unit tests.
I came across an embedded postgres implementation that looks promising, but don't really see how to set it up to run within Spring Boot's unit test framework only (for testing Spring Data repositories). How would one set this up using the mentioned tool or an alternative embedded version of Postgres?
",<spring><postgresql><spring-boot><flyway>,660,1,0,18871,14,73,102,39,75788,0.0,958,5,42,2018-02-23 21:52,2018-02-23 22:21,2018-02-27 15:11,0.0,4.0,Intermediate,30
51082758,How to explode multiple columns of a dataframe in pyspark,"I have a dataframe which consists lists in columns similar to the following. The length of the lists in all columns is not same.
Name  Age  Subjects                  Grades
[Bob] [16] [Maths,Physics,Chemistry] [A,B,C]
I want to explode the dataframe in such a way that i get the following output-
Name Age Subjects Grades
Bob  16   Maths     A
Bob  16  Physics    B
Bob  16  Chemistry  C
How can I achieve this?
",<python><dataframe><apache-spark><pyspark><apache-spark-sql>,412,0,6,698,3,9,25,58,57601,0.0,19,7,42,2018-06-28 12:19,2018-06-28 12:25,2018-06-28 14:14,0.0,0.0,Basic,9
48629799,Postgres image is not creating database,"According to these docs, I can specify the name of the database created by the postgres docker image with the env var POSTGRES_DB. I have set it in my docker-compose file, but it isn't being created.
Here's relevant section from the compose file:
pg:
    image: postgres:10
    volumes:
      - db-data:/var/lib/postgresql/data
    environment:
      POSTGRES_DB: user-auth
      POSTGRES_USER: postgres
      POSTGRES_PASSWORD: postgres
Here are the logs:
Attaching to userauth_pg_1
pg_1   | 2018-02-05 18:05:54.803 UTC [1] LOG:  listening on IPv4 address ""0.0.0.0"", port 5432
pg_1   | 2018-02-05 18:05:54.803 UTC [1] LOG:  listening on IPv6 address ""::"", port 5432
pg_1   | 2018-02-05 18:05:54.806 UTC [1] LOG:  listening on Unix socket ""/var/run/postgresql/.s.PGSQL.5432""
pg_1   | 2018-02-05 18:05:54.817 UTC [24] LOG:  database system was interrupted; last known up at 2018-02-05 18:03:26 UTC
pg_1   | 2018-02-05 18:05:54.942 UTC [24] LOG:  database system was not properly shut down; automatic recovery in progress
pg_1   | 2018-02-05 18:05:54.944 UTC [24] LOG:  redo starts at 0/1633ED0
pg_1   | 2018-02-05 18:05:54.944 UTC [24] LOG:  invalid record length at 0/1633F08: wanted 24, got 0
pg_1   | 2018-02-05 18:05:54.944 UTC [24] LOG:  redo done at 0/1633ED0
pg_1   | 2018-02-05 18:05:54.955 UTC [1] LOG:  database system is ready to accept connections
pg_1   | 2018-02-05 18:05:59.140 UTC [31] FATAL:  database ""user-auth"" does not exist
pg_1   | 2018-02-05 18:06:15.528 UTC [32] FATAL:  database ""user-auth"" does not exist
pg_1   | 2018-02-05 18:08:46.120 UTC [33] FATAL:  database ""user-auth"" does not exist
pg_1   | 2018-02-05 18:08:46.151 UTC [34] FATAL:  database ""user-auth"" does not exist
pg_1   | 2018-02-05 18:14:02.138 UTC [35] FATAL:  database ""user-auth"" does not exist
pg_1   | 2018-02-05 18:14:02.926 UTC [36] FATAL:  database ""user-auth"" does not exist
pg_1   | 2018-02-05 18:14:04.244 UTC [37] FATAL:  database ""user-auth"" does not exist
pg_1   | 2018-02-05 18:14:04.273 UTC [38] FATAL:  database ""user-auth"" does not exist
pg_1   | 2018-02-05 18:14:04.602 UTC [39] FATAL:  database ""user-auth"" does not exist
pg_1   | 2018-02-05 18:14:04.910 UTC [40] FATAL:  database ""user-auth"" does not exist
pg_1   | 2018-02-05 18:14:05.777 UTC [41] FATAL:  database ""user-auth"" does not exist
pg_1   | 2018-02-05 18:14:05.823 UTC [42] FATAL:  database ""user-auth"" does not exist
pg_1   | 2018-02-05 18:14:05.878 UTC [43] FATAL:  database ""user-auth"" does not exist
pg_1   | 2018-02-05 18:14:06.663 UTC [44] FATAL:  database ""user-auth"" does not exist
pg_1   | 2018-02-05 18:14:06.716 UTC [45] FATAL:  database ""user-auth"" does not exist
pg_1   | 2018-02-05 18:16:32.713 UTC [46] FATAL:  database ""user-auth"" does not exist
pg_1   | 2018-02-05 18:47:04.603 UTC [47] FATAL:  database ""user-auth"" does not exist
pg_1   | 2018-02-05 18:51:34.413 UTC [1] LOG:  received smart shutdown request
pg_1   | 2018-02-05 18:51:34.417 UTC [1] LOG:  worker process: logical replication launcher (PID 30) exited with exit code 1
pg_1   | 2018-02-05 18:51:34.419 UTC [25] LOG:  shutting down
pg_1   | 2018-02-05 18:51:34.434 UTC [1] LOG:  database system is shut down
pg_1   | 2018-02-05 19:08:42.934 UTC [1] LOG:  listening on IPv4 address ""0.0.0.0"", port 5432
pg_1   | 2018-02-05 19:08:42.934 UTC [1] LOG:  listening on IPv6 address ""::"", port 5432
pg_1   | 2018-02-05 19:08:42.937 UTC [1] LOG:  listening on Unix socket ""/var/run/postgresql/.s.PGSQL.5432""
pg_1   | 2018-02-05 19:08:42.951 UTC [25] LOG:  database system was shut down at 2018-02-05 18:51:34 UTC
pg_1   | 2018-02-05 19:08:42.956 UTC [1] LOG:  database system is ready to accept connections
pg_1   | 2018-02-05 19:09:04.316 UTC [32] FATAL:  database ""user-auth"" does not exist
pg_1   | 2018-02-05 19:09:18.081 UTC [33] FATAL:  database ""user-auth"" does not exist
",<postgresql><docker>,3825,1,47,2349,2,19,17,36,46297,0.0,490,6,42,2018-02-05 19:11,2019-01-15 13:50,2019-01-15 13:50,344.0,344.0,Basic,14
