Id,Title,Body,Tags,CreationDate,Y
34756402,javascript: loop add number,"<p>How to loop like this one in javascript?
11
21
32
43</p>

<p>I have this code already.</p>

<pre><code>for(var i=11; i &lt;= 43; i += 10){
document.write(i+'&lt;br&gt;');
}
</code></pre>
",<javascript><loops>,16/01/13 0:31,LQ_CLOSE
34756524,C - double result returning the value of 0,"<pre><code>#include &lt;stdio.h&gt;

int main(int argc, const char * argv[]) {

    int a = 10;
    int b = 20;
    double result = a / b;
    printf(""%d divided by %d makes %f\n"", a, b, result);

    return 0;
}
</code></pre>

<p>Expecting that the <code>%f</code> would return 0.500000, I ran the code and it turned out to be 0.000000.</p>

<p>Is there a reason that the <code>result</code> variable is returning a zero value?</p>
",<c>,16/01/13 0:45,LQ_CLOSE
34756944,How is document.querySelector implemented?,"<p>I suppose the answer to this question depends on what browser you are using, but I guess that just makes it all the more interesting. </p>

<p>I'm wondering how the <a href=""https://developer.mozilla.org/en-US/docs/Web/API/Document/querySelector"" rel=""noreferrer""><code>querySelector()</code></a> method is actually implemented. Similarly, I'm curious about <a href=""https://developer.mozilla.org/en-US/docs/Web/API/Document/querySelectorAll"" rel=""noreferrer""><code>querySelectorAll()</code></a> and other methods like <a href=""https://developer.mozilla.org/en-US/docs/Web/API/Document/getElementById"" rel=""noreferrer""><code>getElementById()</code></a> and <a href=""https://developer.mozilla.org/en-US/docs/Web/API/Document/getElementsByClassName"" rel=""noreferrer""><code>getElementByClassName()</code></a> etc.</p>

<p>Is it a depth first search, breadth first search, or does it utilize some auxiliary data structure, like a global hash table to act as a registry?</p>
",<javascript><algorithm><dom><browser><tree>,16/01/13 1:32,HQ
34757477,Illegal instruction (core dumped) neural network,"I have a 3-layed neural network, and I keep getting the above error. I tried the fix here: http://stackoverflow.com/questions/10354147/find-which-assembly-instruction-caused-an-illegal-instruction-error-without-debu

And that actually did fix something because before it wasn't saying (core dumped)

Here's the code:

    #include <stdio.h>
    #include <stdlib.h>
    #include <time.h>
    #include <math.h>
    #include <fcntl.h>
    
    #define NUMPAT 51
    #define NUMIN  51
    #define NUMHID 20
    #define NUMOUT 20
    
    #define rando() ((double)rand()/(RAND_MAX+1))
    
    int main() {
        int    i, j, k, p, np, op, ranpat[NUMPAT+1], epoch, temp1, temp2, game;
        int    NumPattern = NUMPAT, NumInput = NUMIN, NumHidden = NUMHID, NumOutput = NUMOUT;
        // double Input[NUMPAT+1][NUMIN+1] = { 0, 0, 0,  0, 0, 0,  0, 1, 0,  0, 0, 1,  0, 1, 1 };
        double Input[20][2][51] = { ...blah blah a bunch of data the problem isn't here...

   
     double Target[20] = {10,10,3,-4,11,-2,13,-5,4,3,4,5,-5,25,13,25,3,2,5,17};
        double SumH[NUMPAT+1][NUMHID+1], WeightIH[NUMIN+1][NUMHID+1], Hidden[NUMPAT+1][NUMHID+1];
        double SumO[NUMPAT+1][NUMOUT+1], WeightHO[NUMHID+1][NUMOUT+1], Output[NUMPAT][20];
        double DeltaO[NUMOUT+1], SumDOW[NUMHID+1], DeltaH[NUMHID+1];
        double DeltaWeightIH[NUMIN+1][NUMHID+1], DeltaWeightHO[NUMHID+1][NUMOUT+1];
        double Error, eta = 0.5, alpha = 0.9, smallwt = 0.5;
    
        for( j = 0 ; j < NumHidden ; j++ ) {    /* initialize WeightIH and DeltaWeightIH */
            for( i = 0 ; i < NumInput ; i++ ) {
                DeltaWeightIH[i][j] = 0.0 ;
                WeightIH[i][j] = 2.0 * ( rando() - 0.5 ) * smallwt ;
            }
        }
        for( k = 0 ; k < NumOutput ; k ++ ) {    /* initialize WeightHO and DeltaWeightHO */
            for( j = 0 ; j < NumHidden ; j++ ) {
                DeltaWeightHO[j][k] = 0.0 ;
                WeightHO[j][k] = 2.0 * ( rando() - 0.5 ) * smallwt ;
            }
        }
    
        for( epoch = 0 ; epoch < 100000 ; epoch++) {    /* iterate weight updates */
            for( p = 1 ; p <= NumPattern ; p++ ) {    /* randomize order of individuals */
                ranpat[p] = p ;
            }
            for( p = 1 ; p <= NumPattern ; p++) {
                np = p + rand() * ( NumPattern + 1 - p ) ;
                op = ranpat[p] ; ranpat[p] = ranpat[np] ; ranpat[np] = op ;
            }
            Error = 0.0 ;
            for( np = 1 ; np <= NumPattern ; np++ ) {    /* repeat for all the training patterns */
                p = ranpat[np];
                for (game = 0; game < 20; game++){
                  for( j = 0 ; j < NumHidden ; j++ ) {    /* compute hidden unit activations */
                      SumH[p][j] = WeightIH[0][j] ;
                      for( i = 0 ; i < NumInput ; i++ ) {
                          temp1 = Input[game][0][i] * WeightIH[i][j] ;
                          temp2 = Input[game][1][i] * WeightIH[i][j] ;
                          SumH[p][j] += temp1 - temp2 ;
                      }
                      Hidden[p][j] = 1.0/(1.0 + exp(-SumH[p][j])) ;
                  }
                  for( k = 0 ; k < NumOutput ; k++ ) {    /* compute output unit activations and errors */
                      SumO[p][k] = WeightHO[0][k] ;
                      for( j = 0 ; j < NumHidden ; j++ ) {
                          SumO[p][k] += Hidden[p][j] * WeightHO[j][k] ;
                      }
                      Output[p][k] = 1.0/(1.0 + exp(-SumO[p][k])) ;   /* Sigmoidal Outputs */
      /*              Output[p][k] = SumO[p][k];      L
    ear Outputs */
                      Error += 0.5 * (Target[k] - Output[p][k]) * (Target[k] - Output[p][k]) ;   /* SSE */
      /*              Error -= ( Target[p][k] * log( Output[p][k] ) + ( 1.0 - Target[p][k] ) * log( 1.0 - Output[p][k] ) ) ;    Cross-Entropy Error */
                      DeltaO[k] = (Target[k] - Output[p][k]) * Output[p][k] * (1.0 - Output[p][k]) ;   /* Sigmoidal Outputs, SSE */
      /*              DeltaO[k] = Target[p][k] - Output[p][k];     Sigmoidal Outputs, Cross-Entropy Error */
      /*              DeltaO[k] = Target[p][k] - Output[p][k];     Linear Outputs, SSE */
                  }
                  for( j = 0 ; j < NumHidden ; j++ ) {    /* 'back-propagate' errors to hidden layer */
                      SumDOW[j] = 0.0 ;
                      for( k = 0 ; k < NumOutput ; k++ ) {
                          SumDOW[j] += WeightHO[j][k] * DeltaO[k] ;
                      }
                      DeltaH[j] = SumDOW[j] * Hidden[p][j] * (1.0 - Hidden[p][j]) ;
                  }
                  for( j = 0 ; j < NumHidden ; j++ ) {     /* update weights WeightIH */
                      DeltaWeightIH[0][j] = eta * DeltaH[j] + alpha * DeltaWeightIH[0][j] ;
                      WeightIH[0][j] += DeltaWeightIH[0][j] ;
                      for( i = 0 ; i < NumInput ; i++ ) {
                          DeltaWeightIH[i][j] = eta * Input[game][0][i] * DeltaH[j] + alpha * DeltaWeightIH[i][j];
                          WeightIH[i][j] += DeltaWeightIH[i][j] ;
                      }
                  }
                  for( k = 0 ; k < NumOutput ; k ++ ) {    /* update weights WeightHO */
                      DeltaWeightHO[0][k] = eta * DeltaO[k] + alpha * DeltaWeightHO[0][k] ;
                      WeightHO[0][k] += DeltaWeightHO[0][k] ;
                      for( j = 0 ; j < NumHidden ; j++ ) {
                          DeltaWeightHO[j][k] = eta * Hidden[p][j] * DeltaO[k] + alpha * DeltaWeightHO[j][k] ;
                          WeightHO[j][k] += DeltaWeightHO[j][k] ;
                      }
                  }
                }
    
            }
            if( epoch%100 == 0 ) fprintf(stdout, ""\nEpoch %-5d :   Error = %f"", epoch, Error) ;
            if( Error < 0.0004 ) break ;  /* stop learning when 'near enough' */
        }
        int sum = 0;
        double weights[51];
        for (i = 0; i < NumInput; i++){
          for (j = 0; j < NumHidden; j++){
            sum = WeightIH[i][j];
          }
          sum /= 51;
          weights[i] = sum;
        }
        for (i = 0; i < 51; i++){
          printf(""weight[%d] = %G\n"", i, weights[i]);
        }
        return 1 ;
    }

I'm compiling with: `gcc nn.c -O -lm -o nn -mmacosx-version-min=10.11` and it compiles fine. 

Any idea what's going on here?",<c><machine-learning><neural-network><instructions>,16/01/13 2:38,LQ_EDIT
34757759,"Why is the compiler-generated enumerator for ""yield"" not a struct?","<p>The <a href=""http://csharpindepth.com/Articles/Chapter6/IteratorBlockImplementation.aspx"">compiler-generated implementation</a> of <code>IEnumerator</code> / <code>IEnumerable</code> for <code>yield</code> methods and getters seems to be a class, and is therefore allocated on the heap. However, other .NET types such as <code>List&lt;T&gt;</code> specifically return <code>struct</code> enumerators to avoid useless memory allocation. From a quick overview of the <em>C# In Depth</em> post, I see no reason why that couldn't also be the case here. </p>

<p>Am I missing something?</p>
",<c#><struct><heap><ienumerable><yield>,16/01/13 3:09,HQ
34758047,Sql server Row To Columns Data,"I have data in a SQL Table with the following structure:
Engine_No Date  Process Bolt_No1 B1Value1 B1Value2 B1Value3 Bolt_No2 B2Value1 B2Value2 B2Value3  Bolt_No3 B3Value1 B3Value2 B3Value3 Bolt_No4 B4Value1 B4Value2 B4Value3

I want to display the following results of a query:

Engine_No Date  Process  Bolt_No1   B1Value1  B1Value2  B1Value3  
Engine_No Date  Process  Bolt_No2   B2Value1  B2Value2  B2Value3        
Engine_No Date  Process  Bolt_No3   B3Value1  B3Value2  B3Value3  
Engine_No Date  Process  Bolt_No4   B4Value1  B4Value2  B4Value3

Can someone suggest a auery that achieves this?",<sql-server>,16/01/13 3:45,LQ_EDIT
34758552,How to change Facebook iOS SDK's done button color when login?,"<p><a href=""https://i.stack.imgur.com/Bunc3.png"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/Bunc3.png"" alt=""enter image description here""></a></p>

<p>My app use white UITabBarItem text color and orange UINavigationBar BarTintColor, when click the Login button added from Facebook SDK, it will popup a webview for login.</p>

<p>but the topbar background color always light gray, if I change the UITabBarItem color, other view will all changed, How can I only custom the button color in Facebook login view or change the navbar background color?</p>
",<customization><facebook-login><facebook-ios-sdk>,16/01/13 4:42,HQ
34758568,How can I get sql results over 100 in apache zeppelin?,"<p>When I execute this query in apache-zeppelin I get only 100 results with 'Results are limited by 100.' message.</p>

<pre><code>%sql
SELECT ip
FROM log
</code></pre>

<p>So I appended 'Limit 10000' in SQL query, but it returns only 100 results again.</p>

<pre><code>%sql
SELECT ip
FROM log
LIMIT 10000
</code></pre>

<p>So, How can I get sql results over 100 in zeppelin?</p>
",<apache-zeppelin>,16/01/13 4:45,HQ
34758860,How to get the count of no of tags in one element in xml using xml or java code,"My .xml doc contains data like this

<Test-Set>
<Test-Case Name=""Verify using Interface user in WebService we are able to do database transactions"" />
<Test-Case Name=""Verify using Interface user in JMS we are able to post a message to queue and get message from queue"" />
<Test-Case Name=""Verify using Interface user we are able to login BPD""/>
</Test-Set>

My excepted output is 3",<java><xml>,16/01/13 5:14,LQ_EDIT
34759034,"what is wrong with: select CONVERT(date,N'13/01/2016')","I used sql server 2028 R when I run the above a script I get this error anyone could help please

error message:

Msg 241, Level 16, State 1, Line 1
Conversion failed when converting date and/or time from character string.",<sql><sql-server-2008-r2>,16/01/13 5:29,LQ_EDIT
