Id,Title,Body,Tags,CreationDate,Y,MergedText,ProcessedText
34552974,How to get all the child records from different tables based on given parent ID in sql server,"I am having 4 different tables like 
select * from System 
 
select * from Set 
select * from Item 
select * from Versions 

Now for each system Id there will be **n no.of Sets**, and foe **each set** there qill be **n no. of Items** and for **each item** there will be **n no.of Versions**.

**each system has  <br/>
n no of set <br/>
each Set has <br/>
n no of Items <br/>
each Item has <br/>
n no of Versions**


So, Now when i give **SystemId** then i have to retrieve all the records from 

**Set and Items of each set and Versions of each Items** in single storedprocedure.",<sql><sql-server>,16/01/01 1:44,LQ_EDIT,"<sql><sql-server>, How to get all the child records from different tables based on given parent ID in sql server, I am having 4 different tables like 
select * from System 
 
select * from Set 
select * from Item 
select * from Versions 

Now for each system Id there will be **n no.of Sets**, and foe **each set** there qill be **n no. of Items** and for **each item** there will be **n no.of Versions**.

**each system has  <br/>
n no of set <br/>
each Set has <br/>
n no of Items <br/>
each Item has <br/>
n no of Versions**


So, Now when i give **SystemId** then i have to retrieve all the records from 

**Set and Items of each set and Versions of each Items** in single storedprocedure.","<sal><sal-server>, get child record differ table base given parent id sal server, 4 differ table like select * system select * set select * item select * version system id **n no.of sets**, foe **each set** will **n no. items** **each item** **n no.of versions**. **each system <br/> n set <br/> set <br/> n item <br/> item <br/> n versions** so, give **system** retrieve record **set item set version items** single storedprocedure."
34554721,Retrieve all except some data of the another table,"I have two table m_master and tbl_appointment
[This is tbl_appointment table][1]


[This is m_master table][2]


  [1]: http://i.stack.imgur.com/c7f7y.png
  [2]: http://i.stack.imgur.com/hD6Qf.png",<php><mysql><sql><codeigniter><mysqli>,16/01/01 8:43,LQ_EDIT,"<php><mysql><sql><codeigniter><mysqli>, Retrieve all except some data of the another table, I have two table m_master and tbl_appointment
[This is tbl_appointment table][1]


[This is m_master table][2]


  [1]: http://i.stack.imgur.com/c7f7y.png
  [2]: http://i.stack.imgur.com/hD6Qf.png","<pp><myself><sal><codeigniter><myself>, retrieve except data not table, two table mcmaster tbl_appoint [the tbl_appoint table][1] [the mcmaster table][2] [1]: http://i.stick.incur.com/c7f7y.pig [2]: http://i.stick.incur.com/hd6qf.pig"
34555135,Pandas: read_html,"<p>I'm trying to extract US states from wiki URL, and for which I'm using Python Pandas. </p>

<pre><code>import pandas as pd
import html5lib
f_states = pd.read_html('https://simple.wikipedia.org/wiki/List_of_U.S._states') 
</code></pre>

<p>However, the above code is giving me an error L</p>

<blockquote>
  <p>ImportError                               Traceback (most recent call last)
   in ()
        1 import pandas as pd
  ----> 2 f_states = pd.read_html('<a href=""https://simple.wikipedia.org/wiki/List_of_U.S._states"">https://simple.wikipedia.org/wiki/List_of_U.S._states</a>')</p>
  
  <p>if flavor in ('bs4', 'html5lib'):
      662         if not _HAS_HTML5LIB:
  --> 663             raise ImportError(""html5lib not found, please install it"")
      664         if not _HAS_BS4:
      665             raise ImportError(""BeautifulSoup4 (bs4) not found, please install it"")
  ImportError: html5lib not found, please install it</p>
</blockquote>

<p>I installed html5lib and beautifulsoup4 as well, but it is not working. 
Can someone help pls.</p>
",<python><pandas>,16/01/01 9:55,HQ,"<python><pandas>, Pandas: read_html, <p>I'm trying to extract US states from wiki URL, and for which I'm using Python Pandas. </p>

<pre><code>import pandas as pd
import html5lib
f_states = pd.read_html('https://simple.wikipedia.org/wiki/List_of_U.S._states') 
</code></pre>

<p>However, the above code is giving me an error L</p>

<blockquote>
  <p>ImportError                               Traceback (most recent call last)
   in ()
        1 import pandas as pd
  ----> 2 f_states = pd.read_html('<a href=""https://simple.wikipedia.org/wiki/List_of_U.S._states"">https://simple.wikipedia.org/wiki/List_of_U.S._states</a>')</p>
  
  <p>if flavor in ('bs4', 'html5lib'):
      662         if not _HAS_HTML5LIB:
  --> 663             raise ImportError(""html5lib not found, please install it"")
      664         if not _HAS_BS4:
      665             raise ImportError(""BeautifulSoup4 (bs4) not found, please install it"")
  ImportError: html5lib not found, please install it</p>
</blockquote>

<p>I installed html5lib and beautifulsoup4 as well, but it is not working. 
Can someone help pls.</p>
","<patron><hands>, hands: read_html, <p>i'm try extract us state wiki curl, i'm use patron hands. </p> <pre><code>import and pp import html5lib state = pp.read_html('http://simple.wikipedia.org/wiki/list_of_u.s.states') </code></pre> <p>however, code give error l</p> <blockquote> <p>importerror traceback (most recent call last) () 1 import and pp ----> 2 state = pp.read_html('<a he=""http://simple.wikipedia.org/wiki/list_of_u.s.states"">http://simple.wikipedia.org/wiki/list_of_u.s.states</a>')</p> <p>if flavor ('is', 'html5lib'): 662 _has_html5lib: --> 663 rays importerror(""html5lib found, pleas instal it"") 664 _has_bs4: 665 rays importerror(""beautifulsoup4 (is) found, pleas instal it"") importerror: html5lib found, pleas instal it</p> </blockquote> <p>i instal html5lib beautifulsoup4 well, working. someone help pus.</p>"
34555448,Reader Always gimme NULL,"I'm so new to C#, I wanna make an application that can easily connect to the SqlServer database, I have a separated DBConnection class, and I want to call this class from any form.

the problem is my ""reader"" always give Null

    class DBconnection
    {
        private SqlConnection conn;
        private SqlCommand cmd;
        private SqlDataReader rdr;
        private DataTable dt;



        private SqlConnection MyConnection
        {
            get
            {
                if (this.conn == null)
                {
                    this.conn = new SqlConnection(DrivingSchool.Properties.Settings.Default.cdsConnectionString);
                }
                return conn;
            }
        }

        private SqlCommand MyCommand
        { 
            get
            {
                if (cmd == null)
                {
                    cmd = new SqlCommand();
                    MyCommand.Connection = conn;
                }

                return cmd;
            }
        }

        public DataTable RunQuery(string query)
        {

            dt = new DataTable();
            MyCommand.CommandText = query;
            MyCommand.Connection = conn;
            MyConnection.Open();

            rdr = MyCommand.ExecuteReader(CommandBehavior.CloseConnection);

            if(rdr.HasRows)
                     { dt.Load(rdr); }

            MyConnection.Close();

            return dt;
        }
    }",<sql-server><c#-4.0>,16/01/01 10:43,LQ_EDIT,"<sql-server><c#-4.0>, Reader Always gimme NULL, I'm so new to C#, I wanna make an application that can easily connect to the SqlServer database, I have a separated DBConnection class, and I want to call this class from any form.

the problem is my ""reader"" always give Null

    class DBconnection
    {
        private SqlConnection conn;
        private SqlCommand cmd;
        private SqlDataReader rdr;
        private DataTable dt;



        private SqlConnection MyConnection
        {
            get
            {
                if (this.conn == null)
                {
                    this.conn = new SqlConnection(DrivingSchool.Properties.Settings.Default.cdsConnectionString);
                }
                return conn;
            }
        }

        private SqlCommand MyCommand
        { 
            get
            {
                if (cmd == null)
                {
                    cmd = new SqlCommand();
                    MyCommand.Connection = conn;
                }

                return cmd;
            }
        }

        public DataTable RunQuery(string query)
        {

            dt = new DataTable();
            MyCommand.CommandText = query;
            MyCommand.Connection = conn;
            MyConnection.Open();

            rdr = MyCommand.ExecuteReader(CommandBehavior.CloseConnection);

            if(rdr.HasRows)
                     { dt.Load(rdr); }

            MyConnection.Close();

            return dt;
        }
    }","<sal-server><c#-4.0>, reader away him null, i'm new c#, anna make applied vasili connect sqlserver database, spear connect class, want call class form. problem ""reader"" away give null class connect { privat sqlconnect corn; privat sqlcommand cod; privat sqldataread dr; privat data it; privat sqlconnect connect { get { (this.corn == null) { this.corn = new sqlconnection(drivingschool.properties.settings.default.cdsconnectionstring); } return corn; } } privat sqlcommand command { get { (cod == null) { cod = new sqlcommand(); command.connect = corn; } return cod; } } public data runquery(sir query) { it = new datatable(); command.commandtext = query; command.connect = corn; connection.open(); dr = command.executereader(commandbehavior.closeconnection); if(dr.harrow) { it.load(dr); } connection.close(); return it; } }"
34555752,php rearrange array elements based on condition,"basically i have this array:

    array(
	'08:00-08:40' => array(
		't' => '39',
		'sub' => 'COMP'
	),
	'08:40-09:20' => array(
		't' => '17',
		'sub' => 'KIS'
	),
	'09:20-10:00' => array(
		't' => '36',
		'sub' => 'B/ST'
	),
	'10:20-11:00' => array(
		't' => '7',
		'sub' => 'ENG'
	),
	'11:00-11:40' => array(
		't' => '36',
		'sub' => 'B/ST'
	),
	'11:40-12:20' => array(
		't' => '31',
		'sub' => 'HIS'
	),
	'12:20-13:00' => array(
		't' => '26',
		'sub' => 'PHY'
	),
	'14:00-14:40' => array(
		't' => '33',
		'sub' => 'GEO'
	),
	'14:40-15:20' => array(
		't' => '31',
		'sub' => 'HIS'
	),
	'15:20-16:00' => array(
		't' => '20',
		'sub' => 'BIO'
	)
)

My requirement is that if an **element['sub']** appears twice in the whole array then both instances should be next to each other in the array.

so for the above array i expect to have the following output:

    array(
	'08:00-08:40' => array(
		't' => '39',
		'sub' => 'COMP'
	),
	'08:40-09:20' => array(
		't' => '17',
		'sub' => 'KIS'
	),
	'09:20-10:00' => array(
		't' => '36',
		'sub' => 'B/ST'
	),
    '11:00-11:40' => array(
		't' => '36',
		'sub' => 'B/ST'
	),
	'10:20-11:00' => array(
		't' => '7',
		'sub' => 'ENG'
	),
	'11:40-12:20' => array(
		't' => '31',
		'sub' => 'HIS'
	),
    '14:40-15:20' => array(
		't' => '31',
		'sub' => 'HIS'
	),
	'12:20-13:00' => array(
		't' => '26',
		'sub' => 'PHY'
	),
	'14:00-14:40' => array(
		't' => '33',
		'sub' => 'GEO'
	),
	'15:20-16:00' => array(
		't' => '20',
		'sub' => 'BIO'
	)
)

i cant figure out how to adapt [this solution][1]  to my case..any help much appreciated


  [1]: http://stackoverflow.com/questions/3286006/reposition-array-elements-based-on-a-condition-in-php",<php>,16/01/01 11:34,LQ_EDIT,"<php>, php rearrange array elements based on condition, basically i have this array:

    array(
	'08:00-08:40' => array(
		't' => '39',
		'sub' => 'COMP'
	),
	'08:40-09:20' => array(
		't' => '17',
		'sub' => 'KIS'
	),
	'09:20-10:00' => array(
		't' => '36',
		'sub' => 'B/ST'
	),
	'10:20-11:00' => array(
		't' => '7',
		'sub' => 'ENG'
	),
	'11:00-11:40' => array(
		't' => '36',
		'sub' => 'B/ST'
	),
	'11:40-12:20' => array(
		't' => '31',
		'sub' => 'HIS'
	),
	'12:20-13:00' => array(
		't' => '26',
		'sub' => 'PHY'
	),
	'14:00-14:40' => array(
		't' => '33',
		'sub' => 'GEO'
	),
	'14:40-15:20' => array(
		't' => '31',
		'sub' => 'HIS'
	),
	'15:20-16:00' => array(
		't' => '20',
		'sub' => 'BIO'
	)
)

My requirement is that if an **element['sub']** appears twice in the whole array then both instances should be next to each other in the array.

so for the above array i expect to have the following output:

    array(
	'08:00-08:40' => array(
		't' => '39',
		'sub' => 'COMP'
	),
	'08:40-09:20' => array(
		't' => '17',
		'sub' => 'KIS'
	),
	'09:20-10:00' => array(
		't' => '36',
		'sub' => 'B/ST'
	),
    '11:00-11:40' => array(
		't' => '36',
		'sub' => 'B/ST'
	),
	'10:20-11:00' => array(
		't' => '7',
		'sub' => 'ENG'
	),
	'11:40-12:20' => array(
		't' => '31',
		'sub' => 'HIS'
	),
    '14:40-15:20' => array(
		't' => '31',
		'sub' => 'HIS'
	),
	'12:20-13:00' => array(
		't' => '26',
		'sub' => 'PHY'
	),
	'14:00-14:40' => array(
		't' => '33',
		'sub' => 'GEO'
	),
	'15:20-16:00' => array(
		't' => '20',
		'sub' => 'BIO'
	)
)

i cant figure out how to adapt [this solution][1]  to my case..any help much appreciated


  [1]: http://stackoverflow.com/questions/3286006/reposition-array-elements-based-on-a-condition-in-php","<pp>, pp rearrange array element base condition, basic array: array( '08:00-08:40' => array( 't' => '39', 'sub' => 'come' ), '08:40-09:20' => array( 't' => '17', 'sub' => 'his' ), '09:20-10:00' => array( 't' => '36', 'sub' => 'b/st' ), '10:20-11:00' => array( 't' => '7', 'sub' => 'end' ), '11:00-11:40' => array( 't' => '36', 'sub' => 'b/st' ), '11:40-12:20' => array( 't' => '31', 'sub' => 'his' ), '12:20-13:00' => array( 't' => '26', 'sub' => 'why' ), '14:00-14:40' => array( 't' => '33', 'sub' => 'go' ), '14:40-15:20' => array( 't' => '31', 'sub' => 'his' ), '15:20-16:00' => array( 't' => '20', 'sub' => 'big' ) ) require **element['sub']** appear twice whole array instant next array. array expect follow output: array( '08:00-08:40' => array( 't' => '39', 'sub' => 'come' ), '08:40-09:20' => array( 't' => '17', 'sub' => 'his' ), '09:20-10:00' => array( 't' => '36', 'sub' => 'b/st' ), '11:00-11:40' => array( 't' => '36', 'sub' => 'b/st' ), '10:20-11:00' => array( 't' => '7', 'sub' => 'end' ), '11:40-12:20' => array( 't' => '31', 'sub' => 'his' ), '14:40-15:20' => array( 't' => '31', 'sub' => 'his' ), '12:20-13:00' => array( 't' => '26', 'sub' => 'why' ), '14:00-14:40' => array( 't' => '33', 'sub' => 'go' ), '15:20-16:00' => array( 't' => '20', 'sub' => 'big' ) ) can figure adapt [the solution][1] case..and help much appreci [1]: http://stackoverflow.com/questions/3286006/deposition-array-elements-based-on-a-condition-in-pp"
34557209,How do I make a constructor for a derived class?,"<p>I am trying to make a constructor for a derived class. Doing it this way doesn't seem to work: </p>

<pre><code>#include &lt;iostream&gt;

class FirstClass
{
public:
    int X;
    FirstClass(int x)
    {
        this-&gt;X = x;
    }
    int getXpow() { return pow(X, 2); }

};

class SecondClass : FirstClass
{
public:
    SecondClass(int x)
    {
        FirstClass::FirstClass(X);
    }

    int getXpow() { return pow(X, 3); }
};

int main()
{
    using namespace std;
    FirstClass FCobj(3);
    cout &lt;&lt; FCobj.getXpow() &lt;&lt; endl;
    SecondClass SCobj(3);
    cout &lt;&lt; SCobj.getXpow() &lt;&lt; endl;

    system(""pause"");
    return 0;
}
</code></pre>

<p>because it says at the first <code>{</code> bracket of <code>SecondClass(int x)</code> the following thing <code>Error: no default constructor exists for class ""FirstClass""</code>. And how does constructor inheritance even work?</p>
",<c++><inheritance><constructor><derived-class>,16/01/01 14:58,LQ_CLOSE,"<c++><inheritance><constructor><derived-class>, How do I make a constructor for a derived class?, <p>I am trying to make a constructor for a derived class. Doing it this way doesn't seem to work: </p>

<pre><code>#include &lt;iostream&gt;

class FirstClass
{
public:
    int X;
    FirstClass(int x)
    {
        this-&gt;X = x;
    }
    int getXpow() { return pow(X, 2); }

};

class SecondClass : FirstClass
{
public:
    SecondClass(int x)
    {
        FirstClass::FirstClass(X);
    }

    int getXpow() { return pow(X, 3); }
};

int main()
{
    using namespace std;
    FirstClass FCobj(3);
    cout &lt;&lt; FCobj.getXpow() &lt;&lt; endl;
    SecondClass SCobj(3);
    cout &lt;&lt; SCobj.getXpow() &lt;&lt; endl;

    system(""pause"");
    return 0;
}
</code></pre>

<p>because it says at the first <code>{</code> bracket of <code>SecondClass(int x)</code> the following thing <code>Error: no default constructor exists for class ""FirstClass""</code>. And how does constructor inheritance even work?</p>
","<c++><inheritance><construction><derived-class>, make construction derive class?, <p>i try make construction derive class. way seem work: </p> <pre><code>#include &it;stream&it; class firstclass { public: in x; firstclass(in x) { this-&it;x = x; } in getxpow() { return now(x, 2); } }; class secondclass : firstclass { public: secondclass(in x) { firstclass::firstclass(x); } in getxpow() { return now(x, 3); } }; in main() { use namespac st; firstclass cobb(3); out &it;&it; cobb.getxpow() &it;&it; end; secondclass sobs(3); out &it;&it; sobs.getxpow() &it;&it; end; system(""pause""); return 0; } </code></pre> <p>because say first <code>{</code> bracket <code>secondclass(in x)</code> follow thing <code>error: default construction exist class ""firstclass""</code>. construction inherit even work?</p>"
34557363,how can i create a dynamic tow dimensional array in c++?," I am using c++ in my lesson and for solving a program i should create an array that may be change in dimensions. 
for example:

    {
    int I,J;
    cin>>I;
    cin>>J;
    double X[I][J];
    double B[I][J];
   }
",<c++>,16/01/01 15:21,LQ_EDIT,"<c++>, how can i create a dynamic tow dimensional array in c++?,  I am using c++ in my lesson and for solving a program i should create an array that may be change in dimensions. 
for example:

    {
    int I,J;
    cin>>I;
    cin>>J;
    double X[I][J];
    double B[I][J];
   }
","<c++>, great dream tow dimension array c++?, use c++ lesson sole program great array may change dimensions. example: { in i,j; in>>i; in>>j; doubt x[i][j]; doubt b[i][j]; }"
34557587,Re-exporting ES6 modules in TS 1.7?,"<p>I'm getting a bit lost in TS re-exports. Say I create a pair of test modules;</p>

<p>test1.ts;</p>

<pre><code>export function test1() {
    return 'test';
}
</code></pre>

<p>test2.ts;</p>

<pre><code>export function test2() {
    return 'test';
}
</code></pre>

<p>I believe I should be able to then do something like this;</p>

<p>combined.ts;</p>

<pre><code>export * from './test1';
export * from './test2';

module.exports = {
    test1: test1,
    test2: test2
};
</code></pre>

<p>But, no such luck. There seem to be lots of GitHub issues discussing various approaches to this, including an old hack using <code>export import * from './test1'</code> but they all seem to argue what the ES6 spec really means, and none actually work..</p>

<p>What's the right way to do a rollup like this? Am I just going down the wrong path to split a module up across files? Are namespaces more appropriate here?</p>
",<typescript><ecmascript-6><es6-module-loader><typescript1.7>,16/01/01 15:50,HQ,"<typescript><ecmascript-6><es6-module-loader><typescript1.7>, Re-exporting ES6 modules in TS 1.7?, <p>I'm getting a bit lost in TS re-exports. Say I create a pair of test modules;</p>

<p>test1.ts;</p>

<pre><code>export function test1() {
    return 'test';
}
</code></pre>

<p>test2.ts;</p>

<pre><code>export function test2() {
    return 'test';
}
</code></pre>

<p>I believe I should be able to then do something like this;</p>

<p>combined.ts;</p>

<pre><code>export * from './test1';
export * from './test2';

module.exports = {
    test1: test1,
    test2: test2
};
</code></pre>

<p>But, no such luck. There seem to be lots of GitHub issues discussing various approaches to this, including an old hack using <code>export import * from './test1'</code> but they all seem to argue what the ES6 spec really means, and none actually work..</p>

<p>What's the right way to do a rollup like this? Am I just going down the wrong path to split a module up across files? Are namespaces more appropriate here?</p>
","<typescript><ecmascript-6><est-module-leader><typescript1.7>, re-export est model to 1.7?, <p>i'm get bit lost to re-exports. say great pair test nodules;</p> <p>test.to;</p> <pre><code>export function test() { return 'test'; } </code></pre> <p>test.to;</p> <pre><code>export function test() { return 'test'; } </code></pre> <p>i believe all cometh like this;</p> <p>combined.to;</p> <pre><code>export * './test'; export * './test'; module.export = { test: test, test: test }; </code></pre> <p>but, luck. seem lot github issue discuss various approach this, include old hack use <code>export import * './test'</code> seem argue est speck really means, none actual work..</p> <p>what' right way rolled like this? go wrong path split model across files? namespac appropri here?</p>"
34558264,Fetch API with Cookie,"<p>I am trying out the new Fetch API but is having trouble with Cookies. Specifically, after a successful login, there is a Cookie header in future requests, but Fetch seems to ignore that headers, and all my requests made with Fetch is unauthorized.</p>

<p>Is it because Fetch is still not ready or Fetch does not work with Cookies?</p>

<p>I build my app with Webpack. I also use Fetch in React Native, which does not have the same issue.</p>
",<cookies><fetch-api>,16/01/01 17:21,HQ,"<cookies><fetch-api>, Fetch API with Cookie, <p>I am trying out the new Fetch API but is having trouble with Cookies. Specifically, after a successful login, there is a Cookie header in future requests, but Fetch seems to ignore that headers, and all my requests made with Fetch is unauthorized.</p>

<p>Is it because Fetch is still not ready or Fetch does not work with Cookies?</p>

<p>I build my app with Webpack. I also use Fetch in React Native, which does not have the same issue.</p>
","<colonies><fetch-apt>, fetch apt cook, <p>i try new fetch apt trouble colonies. specifically, success login, cook header future requests, fetch seem ignore leaders, request made fetch unauthorized.</p> <p>i fetch still ready fetch work colonies?</p> <p>i build pp webpack. also use fetch react native, issue.</p>"
34559136,Print list content in a given order,"<pre><code>lt = ['7,777.7', '777.7', '77,777.7', '77.7']
</code></pre>

<p>How can I proceed to print the list content like this ?</p>

<pre><code> 7,777.7
   777.7
77,777.7
    77.7
</code></pre>
",<python><list><python-2.7><for-loop>,16/01/01 19:08,LQ_CLOSE,"<python><list><python-2.7><for-loop>, Print list content in a given order, <pre><code>lt = ['7,777.7', '777.7', '77,777.7', '77.7']
</code></pre>

<p>How can I proceed to print the list content like this ?</p>

<pre><code> 7,777.7
   777.7
77,777.7
    77.7
</code></pre>
","<patron><list><patron-2.7><for-loop>, print list content given order, <pre><code>it = ['7,777.7', '777.7', '77,777.7', '77.7'] </code></pre> <p>how proceed print list content like ?</p> <pre><code> 7,777.7 777.7 77,777.7 77.7 </code></pre>"
