Id,Title,Body,Tags,CreationDate,Y,MergedText,ProcessedText
34552656,Java: Repeat Task Every Random Seconds,"<p>I'm already familiar with repeating tasks every n seconds by using Java.util.Timer and Java.util.TimerTask. But lets say I want to print ""Hello World"" to the console every random seconds from 1-5. Unfortunately I'm in a bit of a rush and don't have any code to show so far. Any help would be apriciated.  </p>
",<java><repeat>,16/01/01 0:21,LQ_CLOSE,"<java><repeat>, Java: Repeat Task Every Random Seconds, <p>I'm already familiar with repeating tasks every n seconds by using Java.util.Timer and Java.util.TimerTask. But lets say I want to print ""Hello World"" to the console every random seconds from 1-5. Unfortunately I'm in a bit of a rush and don't have any code to show so far. Any help would be apriciated.  </p>
","<cava><repeat>, cava: repeat task every random seconds, <p>i'm already familiar repeat task every n second use cava.until.tim cava.until.timertask. let say want print ""hello world"" console every random second 1-5. unfortun i'm bit rush code show far. help would appreciated. </p>"
34553034,Why are Java Optionals immutable?,"<p>I'd like to understand why Java 8 Optionals were designed to be immutable.  Is it just for thread-safety?</p>
",<java><optional>,16/01/01 2:03,HQ,"<java><optional>, Why are Java Optionals immutable?, <p>I'd like to understand why Java 8 Optionals were designed to be immutable.  Is it just for thread-safety?</p>
","<cava><optional>, cava option immutable?, <p>i'd like understand cava 8 option design immutable. thread-safety?</p>"
34553174,Text Overlay Image with Darkened Opacity React Native,"<p>I am attempting to overlay a title over an image - with the image darkened with a lower opacity. However, the opacity effect is changing the overlaying text as well - making it dim. Any fix to this? Here is what is looks like:</p>

<p><a href=""https://i.stack.imgur.com/1HzD7.png"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/1HzD7.png"" alt=""enter image description here""></a></p>

<p>And here is my code for the custom component (article preview - which the above image is a row of article preview components): </p>

<pre><code>//component for article preview touchable image
/* will require the following
- rss feed and api
- user's keyword interests from parse In home.js
- parse db needs to be augmented to include what they heart
- parse db needs to be augmented to include what they press on (like google news)
*/
var React = require('react-native');
var {
  View, 
  StyleSheet, 
  Text, 
  Image, 
  TouchableHighlight, 
} = React;

//dimensions
var Dimensions = require('Dimensions');
var window = Dimensions.get('window');
var ImageButton = require('../../common/imageButton');
var KeywordBox = require('../../authentication/onboarding/keyword-box');

//additional libraries

module.exports = React.createClass({
  //onPress function that triggers when button pressed
  //this.props.text is property that can be dynamically filled within button 
  /* following props:
    - source={this.props.source}
    - onPress={this.props.onPress}
    - {this.props.text}
    - {this.props.heartText}
    - key={this.props.key} 
    - text={this.props.category} 
    - this.props.selected
  */
  render: function() {
    return (
      &lt;TouchableHighlight 
        underlayColor={'transparent'}
        onPress={this.props.onPress} &gt;
          &lt;Image 
            source={this.props.source} 
            style={[styles.articlePreview, this.border('red')]}&gt;
                  &lt;View style={[styles.container, this.border('organge')]}&gt;
                      &lt;View style={[styles.header, this.border('blue')]}&gt;
                          &lt;Text style={[styles.previewText]}&gt;{this.props.text}&lt;/Text&gt;
                      &lt;/View&gt;
                      &lt;View style={[styles.footer, this.border('white')]}&gt;
                        &lt;View style={[styles.heartRow, this.border('black')]}&gt;
                          &lt;ImageButton
                              style={[styles.heartBtn, , this.border('red')]}
                              resizeMode={'contain'}
                              onPress={this.onHeartPress}
                              source={require('../../img/heart_btn.png')} /&gt;
                          &lt;Text style={[styles.heartText]}&gt;{this.props.heartText + ' favorites'}&lt;/Text&gt;
                        &lt;/View&gt;
                          &lt;KeywordBox 
                              style={[styles.category, this.border('blue')]}
                              key={this.props.key} 
                              text={this.props.category} 
                              onPress={this.props.categoryPress}
                              selected={this.props.selected} /&gt;
                      &lt;/View&gt;
                  &lt;/View&gt;
          &lt;/Image&gt;
      &lt;/TouchableHighlight&gt;
    );
  }, 
  onHeartPress: function() {
    //will move this function to a general module
  }, 
  border: function(color) {
      return {
        //borderColor: color, 
        //borderWidth: 4,
      } 
   },
});

var styles = StyleSheet.create({
  heartText: {
    color: 'white', 
    fontSize: 12, 
    fontWeight: 'bold',
    alignSelf: 'center', 
    marginLeft: 5, 
    fontFamily: 'SFCompactText-Medium'
  }, 
  heartRow: {
    flexDirection: 'row', 
    justifyContent: 'space-around', 
    alignSelf: 'center', 
    justifyContent: 'center', 
  }, 
  heartBtn: {
    height: (92/97)*(window.width/13), 
    width: window.width/13, 
    alignSelf:'center', 
  }, 
  category: {
    fontFamily: 'Bebas Neue', 
    fontSize: 10,
    fontWeight: 'bold'
  }, 
  header: {
    flex: 3, 
    alignItems: 'center', 
    justifyContent: 'space-around', 
    marginTop: window.height/30,
  }, 
  footer: {
    flex: 1, 
    flexDirection: 'row', 
    justifyContent: 'space-between', 
    alignItems: 'center', 
    margin: window.height/50,
  }, 
  container: {
    flex: 1, 
    backgroundColor: 'black', 
    opacity: 0.6, 
  }, 
  articlePreview: {
    flex: 1, 
    height: window.height/3.2, 
    width: window.width, 
    flexDirection: 'column'
  }, 
  previewText: {
    fontFamily: 'Bebas Neue', 
    fontSize: 23,
    color: 'white', 
    alignSelf: 'center', 
    textAlign: 'center', 
    margin: 5, 
    position: 'absolute',
    top: 0,
    right: 0,
    bottom: 0,
    left: 0
  }, 

});
</code></pre>
",<javascript><image><overlay><react-native><opacity>,16/01/01 2:48,HQ,"<javascript><image><overlay><react-native><opacity>, Text Overlay Image with Darkened Opacity React Native, <p>I am attempting to overlay a title over an image - with the image darkened with a lower opacity. However, the opacity effect is changing the overlaying text as well - making it dim. Any fix to this? Here is what is looks like:</p>

<p><a href=""https://i.stack.imgur.com/1HzD7.png"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/1HzD7.png"" alt=""enter image description here""></a></p>

<p>And here is my code for the custom component (article preview - which the above image is a row of article preview components): </p>

<pre><code>//component for article preview touchable image
/* will require the following
- rss feed and api
- user's keyword interests from parse In home.js
- parse db needs to be augmented to include what they heart
- parse db needs to be augmented to include what they press on (like google news)
*/
var React = require('react-native');
var {
  View, 
  StyleSheet, 
  Text, 
  Image, 
  TouchableHighlight, 
} = React;

//dimensions
var Dimensions = require('Dimensions');
var window = Dimensions.get('window');
var ImageButton = require('../../common/imageButton');
var KeywordBox = require('../../authentication/onboarding/keyword-box');

//additional libraries

module.exports = React.createClass({
  //onPress function that triggers when button pressed
  //this.props.text is property that can be dynamically filled within button 
  /* following props:
    - source={this.props.source}
    - onPress={this.props.onPress}
    - {this.props.text}
    - {this.props.heartText}
    - key={this.props.key} 
    - text={this.props.category} 
    - this.props.selected
  */
  render: function() {
    return (
      &lt;TouchableHighlight 
        underlayColor={'transparent'}
        onPress={this.props.onPress} &gt;
          &lt;Image 
            source={this.props.source} 
            style={[styles.articlePreview, this.border('red')]}&gt;
                  &lt;View style={[styles.container, this.border('organge')]}&gt;
                      &lt;View style={[styles.header, this.border('blue')]}&gt;
                          &lt;Text style={[styles.previewText]}&gt;{this.props.text}&lt;/Text&gt;
                      &lt;/View&gt;
                      &lt;View style={[styles.footer, this.border('white')]}&gt;
                        &lt;View style={[styles.heartRow, this.border('black')]}&gt;
                          &lt;ImageButton
                              style={[styles.heartBtn, , this.border('red')]}
                              resizeMode={'contain'}
                              onPress={this.onHeartPress}
                              source={require('../../img/heart_btn.png')} /&gt;
                          &lt;Text style={[styles.heartText]}&gt;{this.props.heartText + ' favorites'}&lt;/Text&gt;
                        &lt;/View&gt;
                          &lt;KeywordBox 
                              style={[styles.category, this.border('blue')]}
                              key={this.props.key} 
                              text={this.props.category} 
                              onPress={this.props.categoryPress}
                              selected={this.props.selected} /&gt;
                      &lt;/View&gt;
                  &lt;/View&gt;
          &lt;/Image&gt;
      &lt;/TouchableHighlight&gt;
    );
  }, 
  onHeartPress: function() {
    //will move this function to a general module
  }, 
  border: function(color) {
      return {
        //borderColor: color, 
        //borderWidth: 4,
      } 
   },
});

var styles = StyleSheet.create({
  heartText: {
    color: 'white', 
    fontSize: 12, 
    fontWeight: 'bold',
    alignSelf: 'center', 
    marginLeft: 5, 
    fontFamily: 'SFCompactText-Medium'
  }, 
  heartRow: {
    flexDirection: 'row', 
    justifyContent: 'space-around', 
    alignSelf: 'center', 
    justifyContent: 'center', 
  }, 
  heartBtn: {
    height: (92/97)*(window.width/13), 
    width: window.width/13, 
    alignSelf:'center', 
  }, 
  category: {
    fontFamily: 'Bebas Neue', 
    fontSize: 10,
    fontWeight: 'bold'
  }, 
  header: {
    flex: 3, 
    alignItems: 'center', 
    justifyContent: 'space-around', 
    marginTop: window.height/30,
  }, 
  footer: {
    flex: 1, 
    flexDirection: 'row', 
    justifyContent: 'space-between', 
    alignItems: 'center', 
    margin: window.height/50,
  }, 
  container: {
    flex: 1, 
    backgroundColor: 'black', 
    opacity: 0.6, 
  }, 
  articlePreview: {
    flex: 1, 
    height: window.height/3.2, 
    width: window.width, 
    flexDirection: 'column'
  }, 
  previewText: {
    fontFamily: 'Bebas Neue', 
    fontSize: 23,
    color: 'white', 
    alignSelf: 'center', 
    textAlign: 'center', 
    margin: 5, 
    position: 'absolute',
    top: 0,
    right: 0,
    bottom: 0,
    left: 0
  }, 

});
</code></pre>
","<javascript><image><overlay><react-native><capacity>, text overlay image darker opal react native, <p>i attempt overlay till image - image darker lower capacity. however, opal effect change overlay text well - make dim. fix this? look like:</p> <p><a he=""http://i.stick.incur.com/1hzd7.pig"" red=""noreferrer""><ing sac=""http://i.stick.incur.com/1hzd7.pig"" at=""went image rescript here""></a></p> <p>and code custom common (article review - image row article review components): </p> <pre><code>//common article review touchabl image /* require follow - ross feed apt - user' eyford interest part home.j - part do need augment include heart - part do need augment include press (like good news) */ war react = require('react-native'); war { view, stylesheet, text, image, touchablehighlight, } = react; //times war times = require('dimensions'); war window = dimensions.get('window'); war imagebutton = require('../../common/imagebutton'); war keywordbox = require('../../authentication/boarding/eyford-box'); //admit library module.export = react.createclass({ //oppress function trigger button press //this.drops.text property dream fill within button /* follow drops: - source={this.drops.source} - oppress={this.drops.oppress} - {this.drops.text} - {this.drops.heartfelt} - key={this.drops.key} - text={this.drops.category} - this.drops.select */ render: function() { return ( &it;touchablehighlight underlaycolor={'transparent'} oppress={this.drops.oppress} &it; &it;image source={this.drops.source} style={[style.articlepreview, this.border('red')]}&it; &it;view style={[style.container, this.border('orange')]}&it; &it;view style={[style.header, this.border('blue')]}&it; &it;text style={[style.previewtext]}&it;{this.drops.text}&it;/text&it; &it;/view&it; &it;view style={[style.foster, this.border('white')]}&it; &it;view style={[style.harrow, this.border('black')]}&it; &it;imagebutton style={[style.heartbtn, , this.border('red')]} resizemode={'contain'} oppress={this.onheartpress} source={require('../../ing/heart_btn.pig')} /&it; &it;text style={[style.heartfelt]}&it;{this.drops.heartfelt + ' favorites'}&it;/text&it; &it;/view&it; &it;keywordbox style={[style.category, this.border('blue')]} key={this.drops.key} text={this.drops.category} oppress={this.drops.categorypress} selected={this.drops.selected} /&it; &it;/view&it; &it;/view&it; &it;/image&it; &it;/touchablehighlight&it; ); }, onheartpress: function() { //will move function genet model }, border: function(color) { return { //bordercolor: color, //borderwidth: 4, } }, }); war style = stylesheet.create({ heartfelt: { color: 'white', fontsize: 12, fontweight: 'bold', alignself: 'center', marginleft: 5, fontfamily: 'sfcompacttext-medium' }, harrow: { flexdirection: 'row', justifycontent: 'space-around', alignself: 'center', justifycontent: 'center', }, heartbtn: { height: (92/97)*(window.width/13), width: window.width/13, alignself:'center', }, category: { fontfamily: 'beta neve', fontsize: 10, fontweight: 'bold' }, header: { flex: 3, alignitems: 'center', justifycontent: 'space-around', margintop: window.height/30, }, foster: { flex: 1, flexdirection: 'row', justifycontent: 'space-between', alignitems: 'center', margin: window.height/50, }, container: { flex: 1, backgroundcolor: 'black', capacity: 0.6, }, articlepreview: { flex: 1, height: window.height/3.2, width: window.width, flexdirection: 'column' }, previewtext: { fontfamily: 'beta neve', fontsize: 23, color: 'white', alignself: 'center', textalign: 'center', margin: 5, position: 'absolute', top: 0, right: 0, bottom: 0, left: 0 }, }); </code></pre>"
34553318,Why ternary operator in swift is so picky?,"<p>The question is very simple, but I just could not find the answer!</p>

<p>Why doesn't</p>

<pre><code>return x == 0? """" : ""Hello""
</code></pre>

<p>compile but</p>

<pre><code>return x == 0 ? """" : ""Hello""
</code></pre>

<p>does?</p>

<p>This is really weird because all the other operators don't need an extra white space. e.g.</p>

<pre><code>let x = 1+1
let y = 1 + 1
</code></pre>

<p>are the same.</p>

<p>I think it has something to do with optionals. But when you use a <code>?</code> operator on a variable, it must be used like this:</p>

<pre><code>let s: String? = nil
let x = s?.startIndex
</code></pre>

<p>I mean it must follow another operator, right?</p>
",<swift><operators><whitespace><ternary-operator><optional>,16/01/01 3:30,HQ,"<swift><operators><whitespace><ternary-operator><optional>, Why ternary operator in swift is so picky?, <p>The question is very simple, but I just could not find the answer!</p>

<p>Why doesn't</p>

<pre><code>return x == 0? """" : ""Hello""
</code></pre>

<p>compile but</p>

<pre><code>return x == 0 ? """" : ""Hello""
</code></pre>

<p>does?</p>

<p>This is really weird because all the other operators don't need an extra white space. e.g.</p>

<pre><code>let x = 1+1
let y = 1 + 1
</code></pre>

<p>are the same.</p>

<p>I think it has something to do with optionals. But when you use a <code>?</code> operator on a variable, it must be used like this:</p>

<pre><code>let s: String? = nil
let x = s?.startIndex
</code></pre>

<p>I mean it must follow another operator, right?</p>
","<swift><operators><whitespace><tertiary-operator><optional>, ternari over swift pick?, <p>the question simple, could find answer!</p> <p>who doesn't</p> <pre><code>return x == 0? """" : ""hello"" </code></pre> <p>compel but</p> <pre><code>return x == 0 ? """" : ""hello"" </code></pre> <p>does?</p> <p>the really weird over need extra white space. e.g.</p> <pre><code>let x = 1+1 let = 1 + 1 </code></pre> <p>are same.</p> <p>i think cometh optional. use <code>?</code> over variable, must use like this:</p> <pre><code>let s: string? = nail let x = s?.startindex </code></pre> <p>i mean must follow not operator, right?</p>"
34553755,hide/show fab with scale animation,"<p>I'm using custom floatingactionmenu. I need to implement scale animation on show/hide menu button like here
<a href=""https://material-design.storage.googleapis.com/publish/material_v_4/material_ext_publish/0B6Okdz75tqQsZU1kZWhRYWZpUDg/components-buttons-fab-behavior_01_xhdpi_012.mp4"" rel=""noreferrer"">floating action button behaviour</a></p>

<p>Is there any way to do this ?</p>
",<android><material-design><floating-action-button>,16/01/01 5:21,HQ,"<android><material-design><floating-action-button>, hide/show fab with scale animation, <p>I'm using custom floatingactionmenu. I need to implement scale animation on show/hide menu button like here
<a href=""https://material-design.storage.googleapis.com/publish/material_v_4/material_ext_publish/0B6Okdz75tqQsZU1kZWhRYWZpUDg/components-buttons-fab-behavior_01_xhdpi_012.mp4"" rel=""noreferrer"">floating action button behaviour</a></p>

<p>Is there any way to do this ?</p>
","<andros><material-design><floating-action-button>, hide/show far scale animation, <p>i'm use custom floatingactionmenu. need implement scale aim show/hid menu button like <a he=""http://material-design.storage.googleapis.com/publish/material_v_4/material_ext_publish/0b6okdz75tqqszu1kzwhrywzpudg/components-buttons-far-behavior_01_xhdpi_012.may"" red=""noreferrer"">flow action button behaviour</a></p> <p>i way ?</p>"
34554026,Accessing pointer member of the structure using structure pointer,"<p>I have defined integer pointer inside the structure.And i want to use that member pointer using the structure pointer.My code is as shown below:</p>

<pre><code>#include&lt;stdio.h&gt;
#include&lt;stdlib.h&gt;

struct abc
{
        int *x;
};

int main()
{

        struct abc *p = (struct abc*)malloc(sizeof(struct abc));
        p-&gt;x = (int*)malloc(sizeof(int));
        p-&gt;x = 10;
        printf(""The value is %d\n"",p-&gt;x);
        free(p);
}
</code></pre>

<p>Now i am getting output as per my expectation.But i have got warning message while compiling.The warning messages are:</p>

<pre><code>temp.c:14:7: warning: assignment makes pointer from integer without a cast [enabled by default]
temp.c:15:2: warning: format ‘%d’ expects argument of type ‘int’, but argument 2 has type ‘int *’ [-Wformat]
</code></pre>

<p>I have also tried,</p>

<pre><code>*p-&gt;x = 10
 printf(""The value is %d\n"",*p-&gt;x);
</code></pre>

<p>but it is not working.</p>

<p>How to solve this warning?</p>
",<c><pointers><data-structures>,16/01/01 6:21,LQ_CLOSE,"<c><pointers><data-structures>, Accessing pointer member of the structure using structure pointer, <p>I have defined integer pointer inside the structure.And i want to use that member pointer using the structure pointer.My code is as shown below:</p>

<pre><code>#include&lt;stdio.h&gt;
#include&lt;stdlib.h&gt;

struct abc
{
        int *x;
};

int main()
{

        struct abc *p = (struct abc*)malloc(sizeof(struct abc));
        p-&gt;x = (int*)malloc(sizeof(int));
        p-&gt;x = 10;
        printf(""The value is %d\n"",p-&gt;x);
        free(p);
}
</code></pre>

<p>Now i am getting output as per my expectation.But i have got warning message while compiling.The warning messages are:</p>

<pre><code>temp.c:14:7: warning: assignment makes pointer from integer without a cast [enabled by default]
temp.c:15:2: warning: format ‘%d’ expects argument of type ‘int’, but argument 2 has type ‘int *’ [-Wformat]
</code></pre>

<p>I have also tried,</p>

<pre><code>*p-&gt;x = 10
 printf(""The value is %d\n"",*p-&gt;x);
</code></pre>

<p>but it is not working.</p>

<p>How to solve this warning?</p>
","<c><printers><data-structures>, access pointer member structure use structure pointer, <p>i define inter pointer inside structure.and want use member pointer use structure pointer.mi code shown below:</p> <pre><code>#include&it;studio.h&it; #include&it;stdlib.h&it; struck abc { in *x; }; in main() { struck abc *p = (struck abc*)allow(size(struck abc)); p-&it;x = (in*)allow(size(in)); p-&it;x = 10; print(""th value %d\n"",p-&it;x); free(p); } </code></pre> <p>now get output per expectation.but got warn message complying.th warn message are:</p> <pre><code>hemp.c:14:7: warning: assign make pointer inter without cast [enable default] hemp.c:15:2: warning: format ‘%d’ expect argument type ‘in’, argument 2 type ‘in *’ [-format] </code></pre> <p>i also tried,</p> <pre><code>*p-&it;x = 10 print(""th value %d\n"",*p-&it;x); </code></pre> <p>but working.</p> <p>how sole warning?</p>"
34554206,"How To Disable 2nd Saturday 4th Saturday ,Sunday And Holiday Date Using JQuery Calendar","  i want to Disable 2nd Saturday 4th saturday, Sunday And Public Holiday Date Using jQuery calendar 

All year of 2nd Saturday And 4th Saturday ,Sunday Disable from Calendar

Please Help Me",<javascript><jquery><jquery-ui>,16/01/01 6:55,LQ_EDIT,"<javascript><jquery><jquery-ui>, How To Disable 2nd Saturday 4th Saturday ,Sunday And Holiday Date Using JQuery Calendar,   i want to Disable 2nd Saturday 4th saturday, Sunday And Public Holiday Date Using jQuery calendar 

All year of 2nd Saturday And 4th Saturday ,Sunday Disable from Calendar

Please Help Me","<javascript><query><query-i>, distal and saturday th saturday ,sunday holiday date use query calendar, want distal and saturday th saturday, sunday public holiday date use query calendar year and saturday th saturday ,sunday distal calendar pleas help"
34554671,Resizing containers in bootstrap,"I am new to bootstrap and i would like to find out how do i automatically resize my image to fit it into the container. And i would like to have a blank background for my container. Currently it is like this 

   <div class=""row"">
                        <div class=""col-md-3"">
                            <div class=""panel panel-primary"">
                                <div class=""panel-heading"">
                                    <div class=""row"">
                                        <img src =""haha.png""/>
                                    </div>
                                </div>
                            </div>
                        </div>
                [![enter image description here][1]][1]

I plugged the whole code from some template form and i was playing around with it. 

I would like to have a container where i could fit the image inside automatically resizing the image.


  [1]: http://i.stack.imgur.com/s16WB.png",<jquery><html><css><twitter-bootstrap>,16/01/01 8:32,LQ_EDIT,"<jquery><html><css><twitter-bootstrap>, Resizing containers in bootstrap, I am new to bootstrap and i would like to find out how do i automatically resize my image to fit it into the container. And i would like to have a blank background for my container. Currently it is like this 

   <div class=""row"">
                        <div class=""col-md-3"">
                            <div class=""panel panel-primary"">
                                <div class=""panel-heading"">
                                    <div class=""row"">
                                        <img src =""haha.png""/>
                                    </div>
                                </div>
                            </div>
                        </div>
                [![enter image description here][1]][1]

I plugged the whole code from some template form and i was playing around with it. 

I would like to have a container where i could fit the image inside automatically resizing the image.


  [1]: http://i.stack.imgur.com/s16WB.png","<query><html><iss><twitter-bootstrap>, resin contain bootstrap, new bootstrap would like find automatic resin image fit container. would like blank background container. current like <did class=""row""> <did class=""col-md-3""> <did class=""panel panel-primary""> <did class=""panel-heading""> <did class=""row""> <ing sac =""hata.pig""/> </did> </did> </did> </did> [![enter image rescript here][1]][1] plug whole code temple form play around it. would like contain could fit image inside automatic resin image. [1]: http://i.stick.incur.com/s16wb.pig"
34554871,Changing Theme in Windows 10 UWP App Programmatically,"<p>I was able to change theme using <code>this.RequestedTheme = ElementTheme.Dark;</code>
But what I need is the whole application level, since this one only change the theme of the current page to dark.</p>

<p>Whenever I try this <code>App.Current.RequestedTheme = ApplicationTheme.Dark;</code>
I always get this error</p>

<blockquote>
  <p>An exception of type 'System.NotSupportedException' occurred in UWPApp.exe but was not handled in user code</p>
</blockquote>

<p>Is there such a way that I can change the whole application theme from Light to Dark or vice versa?</p>

<p>I'm using VS2015</p>
",<c#><windows-10><windows-10-mobile><windows-10-universal>,16/01/01 9:05,HQ,"<c#><windows-10><windows-10-mobile><windows-10-universal>, Changing Theme in Windows 10 UWP App Programmatically, <p>I was able to change theme using <code>this.RequestedTheme = ElementTheme.Dark;</code>
But what I need is the whole application level, since this one only change the theme of the current page to dark.</p>

<p>Whenever I try this <code>App.Current.RequestedTheme = ApplicationTheme.Dark;</code>
I always get this error</p>

<blockquote>
  <p>An exception of type 'System.NotSupportedException' occurred in UWPApp.exe but was not handled in user code</p>
</blockquote>

<p>Is there such a way that I can change the whole application theme from Light to Dark or vice versa?</p>

<p>I'm using VS2015</p>
","<c#><windows-10><windows-10-mobile><windows-10-universal>, change theme window 10 up pp programmatically, <p>i all change theme use <code>this.requestedthem = elementtheme.dark;</code> need whole applied level, since one change theme current page dark.</p> <p>when try <code>pp.current.requestedthem = applicationtheme.dark;</code> away get error</p> <blockquote> <p>an except type 'system.notsupportedexception' occur uwpapp.ex hand user code</p> </blockquote> <p>i way change whole applied theme light dark vice versa?</p> <p>i'm use vs2015</p>"
34554982,TextBox Value Disappears VB6,"I my case I am having two form Form 1 and Form 2.
Form 1 having two Buttons and Form 2 is having one textbox.
On Button 1 Click event I am writing ""My Text"" in my Form 2 TextBox and on button 2 I am showing Form 2.
What is happening is When I close my Form 2 using close [X] button and reopen it value in my Form 2 Textbox Disappears.
Please Help how can I resolve this,
",<vb6>,16/01/01 9:27,LQ_EDIT,"<vb6>, TextBox Value Disappears VB6, I my case I am having two form Form 1 and Form 2.
Form 1 having two Buttons and Form 2 is having one textbox.
On Button 1 Click event I am writing ""My Text"" in my Form 2 TextBox and on button 2 I am showing Form 2.
What is happening is When I close my Form 2 using close [X] button and reopen it value in my Form 2 Textbox Disappears.
Please Help how can I resolve this,
","<by>, textbook value disappear by, case two form form 1 form 2. form 1 two button form 2 one textbook. button 1 click event write ""mi text"" form 2 textbook button 2 show form 2. happen close form 2 use close [x] button open value form 2 textbook disappears. pleas help resolve this,"
